step,U_mean,V_mean,UV2_mean,coverage_V
0,0.971200,0.014455,0.001837,0.057600
100,0.906143,0.021125,0.001292,0.080300
200,0.895031,0.021408,0.001331,0.091500
300,0.891467,0.021498,0.001364,0.083200
400,0.869404,0.029728,0.001962,0.118400
500,0.824705,0.039479,0.002487,0.168500
600,0.809250,0.037231,0.002292,0.141500
700,0.777596,0.050863,0.003371,0.192600
800,0.734575,0.052435,0.003065,0.213000
900,0.769545,0.040350,0.002504,0.158600
1000,0.769214,0.046630,0.002951,0.182900
1100,0.767544,0.042838,0.002516,0.174500
1200,0.813555,0.030049,0.001844,0.106800
1300,0.823062,0.035229,0.002243,0.136500
1400,0.814144,0.036732,0.002283,0.140200
1500,0.801222,0.040726,0.002556,0.161900
1600,0.788224,0.042824,0.002710,0.162600
1700,0.754056,0.053939,0.003520,0.211300
1800,0.688930,0.068024,0.004267,0.265800
1900,0.666337,0.064398,0.003864,0.258500
2000,0.709357,0.049219,0.002941,0.187800
2100,0.744362,0.047391,0.003006,0.182300
2200,0.731021,0.055120,0.003505,0.212200
2300,0.704465,0.059599,0.003671,0.236600
2400,0.699546,0.059220,0.003733,0.223500
2500,0.685380,0.061820,0.003780,0.245800
2600,0.700750,0.055503,0.003427,0.212600
2700,0.697021,0.061240,0.003914,0.229100
2800,0.665978,0.067367,0.004114,0.266800
2900,0.685795,0.056647,0.003453,0.210800
3000,0.701746,0.057056,0.003570,0.216300
3100,0.701656,0.057372,0.003539,0.224000
3200,0.701535,0.058139,0.003622,0.220700
3300,0.686383,0.063889,0.004041,0.248700
3400,0.661449,0.067989,0.004203,0.265000
3500,0.673627,0.059282,0.003547,0.227700
3600,0.708269,0.053770,0.003403,0.196900
3700,0.703139,0.058092,0.003565,0.231300
3800,0.715979,0.053399,0.003351,0.199500
3900,0.693124,0.064011,0.004028,0.249800
4000,0.693325,0.055937,0.003321,0.214000
